video_id,title,url,view_count,genre,country
fk3z_jparZw,RARE FUNK - jOHNNy tRu lOVe cOLLECTIOn,https://www.youtube.com/watch?v=fk3z_jparZw,2598,funk,Unknown
x8G3Di9k0Xo,CENTRAL LINE - SURPRISE SURPRISE #funk #oldschool #rare #killer #boogie #soul #music #groove,https://www.youtube.com/watch?v=x8G3Di9k0Xo,1672,funk,Unknown
FzWPwaCS-J0,🎵 1974 | Soul/Funk Groove/R&B Night Vibes Inspired | Franky B. Jonnas,https://www.youtube.com/watch?v=FzWPwaCS-J0,830,soul,Unknown
TAkEWdJqYOc,rare funk & disco - the collector series - vol#2,https://www.youtube.com/watch?v=TAkEWdJqYOc,2949,funk,Unknown
u6KA_4Ett0w,Angra – Time (If It Was Funk) | 70s Funk Reimagined [AI Remix],https://www.youtube.com/watch?v=u6KA_4Ett0w,886,funk,Unknown
DLR3XZrId4A,Midnight Surfer - Zonzaleg - Rissoled (Gonzalez - Rissoled reworked M.S Edit) - Rare Funk,https://www.youtube.com/watch?v=DLR3XZrId4A,1256,funk,Unknown
j0CkR9lQyMI,LET HIM COOK (1977) OBSCURE HIT FUNK SONG!,https://www.youtube.com/watch?v=j0CkR9lQyMI,3614,funk,Unknown
MkCH_yh93hU,"A Different Bag - Mother Fudge-Cicle (Part 1&2) [US, Funk] (1970s)",https://www.youtube.com/watch?v=MkCH_yh93hU,2192,funk,Unknown
4di7qPIvcaY,Rare Modern Soul Funk LP Memory Of Justice Band - Going Around In Circle,https://www.youtube.com/watch?v=4di7qPIvcaY,235,soul,Unknown
HTzXWP-xxS8,The Funky 1970s Cello Pop & Disco Love Groove Beat Theme in E minor(120 Bpm) 5 Yamaha E Cello Solos,https://www.youtube.com/watch?v=HTzXWP-xxS8,258,funk,Unknown
fqBodMX5RNU,Con-Funk-Shun,https://www.youtube.com/watch?v=fqBodMX5RNU,5288,funk,Unknown
Nw0m-vFON1k,COOKIE - CAN'T JUDGE A BOOK BY ITS COVER 1982 (RARE FUNK),https://www.youtube.com/watch?v=Nw0m-vFON1k,660,funk,Unknown
EvGrKJlF5g4,G-FUNK 70s - Cadillac Ride,https://www.youtube.com/watch?v=EvGrKJlF5g4,2992,soul,Unknown
KmpzdNQTRz0,🎵 1979 | Disco/Funk Groove/R&B Night Vibes Inspired | Mike E. Bosse,https://www.youtube.com/watch?v=KmpzdNQTRz0,1261,funk,Unknown
0GkpOGV6wnM,(NEVER BEFORE USED SAMPLES) Rare vintage Japanese soul sample pack  - Rare Japan,https://www.youtube.com/watch?v=0GkpOGV6wnM,5055,soul,Unknown
E7UNWSbnaSY,Rare Vintage Soul Sample Pack | Special Soul,https://www.youtube.com/watch?v=E7UNWSbnaSY,2596,soul,Unknown
YLSLOPWj9Ss,"VINTAGE SOUL SAMPLE PACK - ""VEGAS PT2"" [Rare Soulful Samples For Hip-Hop]",https://www.youtube.com/watch?v=YLSLOPWj9Ss,32285,soul,Unknown
wzg68nYQSy8,RARE Vintage Soul Sample Pack | Journey,https://www.youtube.com/watch?v=wzg68nYQSy8,1632,soul,Unknown
GsnFlJYssCE,Ice Cold Love - Wonderful To Be Loved,https://www.youtube.com/watch?v=GsnFlJYssCE,8835,unknown,Unknown
I2i2dP_xDio,The Persuaders - If You Feel Like I Do [ Soul Sample ],https://www.youtube.com/watch?v=I2i2dP_xDio,634,soul,Unknown
00tn_dnn7mg,RARE Vintage 80s Soul Sample Pack | Just Us,https://www.youtube.com/watch?v=00tn_dnn7mg,1904,soul,Unknown
m4qprukXHHI,free Jay Z vintage soul sample pack | The Ruler,https://www.youtube.com/watch?v=m4qprukXHHI,3979,soul,Unknown
u2WPnj2ZEew,how to find samples that are actually good,https://www.youtube.com/watch?v=u2WPnj2ZEew,23589,unknown,Unknown
LFyOF-3zUGA,"How to Make SOULFUL Boom Bap Beats | (How to Find Rare Soul Samples, Kanye West, FL Studio Tutorial)",https://www.youtube.com/watch?v=LFyOF-3zUGA,9689,soul,Unknown
xVzRcW7FQYQ,Rare Vintage Soul Sample Pack | Rare Soul,https://www.youtube.com/watch?v=xVzRcW7FQYQ,3276,soul,Unknown
L4OBsWTIS-Y,Free 10 Rare Soul Samples - Volume 1 - Download available,https://www.youtube.com/watch?v=L4OBsWTIS-Y,24747,soul,Unknown
ahIALZN-0bE,free Vintage SOUL Sample Pack | Dance,https://www.youtube.com/watch?v=ahIALZN-0bE,2438,soul,Unknown
8u3G3D0SHbI,free Kanye West Vintage Soul Sample Pack | Bully 3,https://www.youtube.com/watch?v=8u3G3D0SHbI,3739,soul,Unknown
mmDYfaiBYWU,LTD - Is It Over,https://www.youtube.com/watch?v=mmDYfaiBYWU,10585,unknown,Unknown
_IeQDeBS6P8,The Soul Messengers - Messiah,https://www.youtube.com/watch?v=_IeQDeBS6P8,15172,soul,Unknown
xALqC-41Olg,free Kanye West vintage soul sample pack | The Ye Soul Collection (reupload),https://www.youtube.com/watch?v=xALqC-41Olg,13343,soul,Unknown
isxWxG6k8a0,"RARE VINTAGE SOUL/JAZZ SAMPLE PACK ""DALI"" (Alchemist, Bexblue, Boldy James, Kendrick Lamar)",https://www.youtube.com/watch?v=isxWxG6k8a0,363,soul,Unknown
5nh2oTJhCic,Sampling a Soul Legend from Mississippi in FL Studio,https://www.youtube.com/watch?v=5nh2oTJhCic,131,soul,Unknown
kQaURGTToQI,"(FREE) JAZZY & SOUL VINTAGE SAMPLE KIT ""AP BELUGA"" 70s Samples (J Dilla, Mf Doom, Joey Badass)",https://www.youtube.com/watch?v=kQaURGTToQI,2131,soul,Unknown
RezsSexSAq8,"""CITY LIGHTS"" - SAMPLE PACK & LOOPS BOOM BAP VINTAGE LO-FI SOUL JAZZ FUNK - VOL.27",https://www.youtube.com/watch?v=RezsSexSAq8,465,soul,Unknown
H2FrB008sHk,"(FREE) Soul Sample Pack | Soul Loop Kit 2026 - ""Aura"" (Stems, Royalty Free, Analog, Vinyl, Tape)",https://www.youtube.com/watch?v=H2FrB008sHk,1575,soul,Unknown
vmb4Zf8QlsA,"RARE VINTAGE SOUL/JAZZ SAMPLE PACK ""BLUE"" (Alchemist, Madlib, Boldy James, J Dilla)",https://www.youtube.com/watch?v=vmb4Zf8QlsA,523,soul,Unknown
Yuq-QDExExc,FREE Vintage Soul Sample Pack 70s & 80s | Old School Jazz Samples for Boom Bap #theproducerfb,https://www.youtube.com/watch?v=Yuq-QDExExc,30,hiphop,Unknown
MLhJUd2Rhsc,"(FREE) RARE VINTAGE 70´S SOUL/JAZZ SAMPLE PACK ""PICASSO"" (Alchemist, MF DOOM, Joey Badass, Griselda)",https://www.youtube.com/watch?v=MLhJUd2Rhsc,6569,soul,Unknown
Lr_HF3CFH-I,"VINTAGE 70´S SOUL/JAZZ RARE SAMPLES ""WELCOME"" Sample Kit (Alchemist, MF DOOM, Old Kanye, Griselda)",https://www.youtube.com/watch?v=Lr_HF3CFH-I,8013,soul,Unknown
5Y9H0_Gv7CQ,Suno V5.5 Rare Soul Sample Flip | The Weekly Cook Up,https://www.youtube.com/watch?v=5Y9H0_Gv7CQ,7,soul,Unknown
KjzhsKa9sOA,FREE Vintage Soul Sample Pack 70s & 80s | Old School Jazz Samples for Boom Bap #theproducerfb,https://www.youtube.com/watch?v=KjzhsKa9sOA,26,hiphop,Unknown
F-ImD9kmsrw,free Vintage Soul Sample Pack | Starry,https://www.youtube.com/watch?v=F-ImD9kmsrw,3147,soul,Unknown
zhsVrPvai7o,free Vintage Soul Sample Pack | Lonely,https://www.youtube.com/watch?v=zhsVrPvai7o,2749,soul,Unknown
HcpyLgDC_rs,vintage soul sample pack | 'the big one',https://www.youtube.com/watch?v=HcpyLgDC_rs,33,soul,Unknown
7je50bjDC-c,vintage soul/jazz sample pack | 'batch 8',https://www.youtube.com/watch?v=7je50bjDC-c,18,soul,Unknown
KA5Nv5CDnfo,Eddie Robinson - Feet On The Ground | Jazz vokal soul sample,https://www.youtube.com/watch?v=KA5Nv5CDnfo,12777,soul,Unknown
Jj9k5a-0QOA,Rare Soul Samples Vol.3 - Rare Gems,https://www.youtube.com/watch?v=Jj9k5a-0QOA,269,soul,Unknown
CpuWcjR7t94,The Alchemist x Griselda Vintage Sample Pack - Rare Finds (RARE NEVER USED SAMPLES),https://www.youtube.com/watch?v=CpuWcjR7t94,3942,unknown,Unknown
zC4Xji3Y7QA,"(FREE) SOUL VINTAGE SAMPLE PACK ""CHAMPION"" Boom Bap, Blues, Jazz",https://www.youtube.com/watch?v=zC4Xji3Y7QA,2326,soul,Unknown
-y-CnGRuKv8,70's Soul Samples - Amber Haze | rare samples to chop,https://www.youtube.com/watch?v=-y-CnGRuKv8,220,soul,Unknown
GTzxhUYqmYs,Polyphonic Music Library - Soul Affair Vol. 3 | Soul Sample Pack,https://www.youtube.com/watch?v=GTzxhUYqmYs,1686,soul,Unknown
GbkL0D95ga4,Borealis Dark RnB Soul Sample Pack,https://www.youtube.com/watch?v=GbkL0D95ga4,130,soul,Unknown
lHv7yDqU-T0,Rare Vintage Memory Recollection Sample Pack | Elixir,https://www.youtube.com/watch?v=lHv7yDqU-T0,1976,unknown,Unknown
8I5fgKysDiU,Free Soul Samples Chopped And Ready !,https://www.youtube.com/watch?v=8I5fgKysDiU,3243,soul,Unknown
sFblVN6uck8,"[SOUL SAMPLES] ""RELAPSE"" 15+ ROC MARICANO X ALCHEMIST SAMPLE PACK | SOUL SAMPLE PACK (RARE SAMPLES)",https://www.youtube.com/watch?v=sFblVN6uck8,620,soul,Unknown
DebS8dL7zeg,(FREE)Vintage Japanese Soul Sample Pack .GEMS.,https://www.youtube.com/watch?v=DebS8dL7zeg,3373,soul,Unknown
wMhf2pPsQ8c,"SOUL SAMPLE PACK ""GHETO"" Rare Vintage Soul & Jazz Sample Gems",https://www.youtube.com/watch?v=wMhf2pPsQ8c,270,soul,Unknown
mhAqLCtXBVY,free Kanye West Vintage Soul Sample Pack | Bully II,https://www.youtube.com/watch?v=mhAqLCtXBVY,3635,soul,Unknown
KdrNEm2BGdg,free Madlib vintage Soul sample pack | Madlib 4,https://www.youtube.com/watch?v=KdrNEm2BGdg,3240,soul,Unknown
WBS5pIGEM-o,"+2000 JAZZ, SOUL AND MORE VINTAGE SAMPLES [ROYALTY FREE] #samples",https://www.youtube.com/watch?v=WBS5pIGEM-o,35,soul,Unknown
sV-392VO5hc,"FREE Vintage Soul Sample!  - (J. Cole, JID, Kendrick, Jay-Z Type Loops) | SAMPLE BREAKDOWN!",https://www.youtube.com/watch?v=sV-392VO5hc,158,soul,Unknown
wpWTEoM7r4w,"Free Rare Vintage Soul Samples (download free) | ""Dark Byzantium""",https://www.youtube.com/watch?v=wpWTEoM7r4w,87,soul,Unknown
YUQ6Uu6xTjo,How to make Vintage Soul Sample For Producers,https://www.youtube.com/watch?v=YUQ6Uu6xTjo,16207,soul,Unknown
-Wnimt2FZcY,[FREE LOOP KIT] soul x rnb x rare samples x new jazz x andrzxz loop kit ''TIMES'' @andrzxz,https://www.youtube.com/watch?v=-Wnimt2FZcY,2471,soul,Unknown
